indic_code,indic_source,indic_lib,indic_cat,icd10,service,add_def,population,age_min,age_max,sex,enceinte,autre,depistage_fait,depistage_resultat,accouchement_assist,accouchement_ptme_type,chirurgie_urgence,traitement_statut
HMIS1,PNLS Infections opportunistes,Cas d'IO diagnostiques chez les PVVIH (y compris la tuberculose),(F.- 0-14 ans),TBD,Depistage,No,0-14 ans- F,0,Y14,F,NA,VIH+,NA,IO,NA,NA,NA,NA
HMIS2,PNLS Infections opportunistes,Cas d'IO diagnostiques chez les PVVIH (y compris la tuberculose),(F.- 15 à 24 ans),TBD,Depistage,No,15-24 ans- F,Y15,Y24,F,NA,VIH+,NA,IO,NA,NA,NA,NA
HMIS3,PNLS Infections opportunistes,Cas d'IO diagnostiques chez les PVVIH (y compris la tuberculose),(F.- 25 à 49 ans),TBD,Depistage,No,25-49 ans- F,Y25,Y49,F,NA,VIH+,NA,IO,NA,NA,NA,NA
HMIS4,PNLS Infections opportunistes,Cas d'IO diagnostiques chez les PVVIH (y compris la tuberculose),(F.- 50 ans et plus),TBD,Depistage,No,50-50 plus- F,Y50,NA,F,NA,VIH+,NA,IO,NA,NA,NA,NA
HMIS5,PNLS Infections opportunistes,Cas d'IO diagnostiques chez les PVVIH (y compris la tuberculose),(M.- 0-14 ans),TBD,Depistage,No,0-14 ans- M,0,Y14,M,NA,VIH+,NA,IO,NA,NA,NA,NA
HMIS6,PNLS Infections opportunistes,Cas d'IO diagnostiques chez les PVVIH (y compris la tuberculose),(M.- 15 à 24 ans),TBD,Depistage,No,15-24 ans- M,Y15,Y24,M,NA,VIH+,NA,IO,NA,NA,NA,NA
HMIS7,PNLS Infections opportunistes,Cas d'IO diagnostiques chez les PVVIH (y compris la tuberculose),(M.- 25 à 49 ans),TBD,Depistage,No,25-49 ans- M,Y25,Y49,M,NA,VIH+,NA,IO,NA,NA,NA,NA
HMIS8,PNLS Infections opportunistes,Cas d'IO diagnostiques chez les PVVIH (y compris la tuberculose),(M.- 50 ans et plus),TBD,Depistage,No,50-50 plus- M,Y50,NA,M,NA,VIH+,NA,IO,NA,NA,NA,NA
HMIS9,PNLS Infections opportunistes,Cas d'IO traites chez les PVVIH (y compris la tuberculose),(F.- 0-14 ans),TBD,Traitement,No,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS10,PNLS Infections opportunistes,Cas d'IO traites chez les PVVIH (y compris la tuberculose),(F.- 15 à 24 ans),TBD,Traitement,No,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS11,PNLS Infections opportunistes,Cas d'IO traites chez les PVVIH (y compris la tuberculose),(F.- 25 à 49 ans),TBD,Traitement,No,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS12,PNLS Infections opportunistes,Cas d'IO traites chez les PVVIH (y compris la tuberculose),(F.- 50 ans et plus),TBD,Traitement,No,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS13,PNLS Infections opportunistes,Cas d'IO traites chez les PVVIH (y compris la tuberculose),(M.- 0-14 ans),TBD,Traitement,No,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS14,PNLS Infections opportunistes,Cas d'IO traites chez les PVVIH (y compris la tuberculose),(M.- 15 à 24 ans),TBD,Traitement,No,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,Nouveau
